filter,family,brain_area,n_area,n_v1,contrast_vs_v1,ci_low,ci_high,bootstrap_replicates
cc_ge_0.7,rotation,LM,4079,24406,0.003706643658188402,-0.001966348130202589,0.00853762725764308,5000
cc_ge_0.7,rotation,RL,2333,24406,-0.0004274822424810143,-0.005791179904778165,0.0070356414205344844,5000
cc_ge_0.7,rotation,AL,983,24406,0.018653335121401438,0.009577500518739073,0.027112213519796143,5000
cc_ge_0.7,translation,LM,4079,24406,0.06826498969094164,0.06256592155547967,0.07412353968939685,5000
cc_ge_0.7,translation,RL,2333,24406,0.08904686179849297,0.08220590884669705,0.09611911475251744,5000
cc_ge_0.7,translation,AL,983,24406,0.09078774804596024,0.07762779753608559,0.10077563610670182,5000
cc_ge_0.7,temporal_reverse,LM,4079,24406,-0.01292321544488595,-0.018667544456187034,-0.008349882333230634,5000
cc_ge_0.7,temporal_reverse,RL,2333,24406,-0.0010414931437641162,-0.007197813563202593,0.0041376000575406155,5000
cc_ge_0.7,temporal_reverse,AL,983,24406,-0.022265322727897052,-0.030360465736307563,-0.014127636670376807,5000
cc_ge_0.7,speed_up,LM,4079,24406,0.01686376071070217,0.013334354397163087,0.02022016497294492,5000
cc_ge_0.7,speed_up,RL,2333,24406,0.029127307165444205,0.025006292536449166,0.03346145240594112,5000
cc_ge_0.7,speed_up,AL,983,24406,0.0280682486750774,0.01961319013387696,0.034643022358015925,5000
cc_ge_0.7,slow_down,LM,4079,24406,-0.05944073164609309,-0.06455925761803818,-0.0549325950765728,5000
cc_ge_0.7,slow_down,RL,2333,24406,-0.10344119098104354,-0.1099126829179577,-0.09848496762066145,5000
cc_ge_0.7,slow_down,AL,983,24406,-0.12279491666283227,-0.13135047277196243,-0.11555328321547224,5000
