task_index,session,scan_idx,unit_id,readout_id,brain_area,original_response,selectivity_full,selectivity_leave_self_out
102655,9,4,5740,5355,V1,14.161878,0.2606786378731867,0.26046261379287167
102656,5,6,6097,5584,V1,8.345972,0.26891927933835313,0.2686085949317142
102657,6,7,5472,4975,V1,11.913475,0.3981372298477893,0.3976781003022912
102658,8,5,805,768,V1,61.34759,0.5563183998481365,0.5539155867088035
102659,7,5,3145,2853,V1,5.6144032,0.46760640384083807,0.4675220702913658
102660,6,2,3385,3116,V1,10.539794,0.34093147901732157,0.3404790240272064
102661,6,6,225,207,V1,7.7351475,0.37572000753596213,0.3755862584533989
102662,7,5,362,333,V1,14.85373,0.32064429262184196,0.3204163938000687
102663,5,7,8442,7729,V1,35.141644,0.4310399938306776,0.4302039822305277
102664,4,7,1734,1467,V1,33.884205,0.6653669330564453,0.6650208621194201
102665,8,5,441,423,V1,25.60484,0.5170851433901806,0.5030649420056702
102666,6,6,5297,4910,V1,28.541689,0.3718019799289247,0.3700739301168978
102667,9,6,433,398,V1,2.9095438,0.30594099180404605,0.3055398611326894
102668,7,5,5447,4933,V1,0.9915365,0.28729808221347275,0.28726951191755334
102669,6,7,1402,1248,V1,10.166411,0.26733787385140034,0.26725721369613403
102670,9,6,889,817,V1,20.127756,0.3575612217729943,0.3563126448673307
102671,8,5,3539,3367,V1,47.744816,0.44110206290182524,0.44011667528818266
102672,5,6,159,149,V1,5.1417913,0.2641014420778313,0.2638702371029394
102673,9,3,6260,5778,V1,11.320401,0.27617425804814283,0.27608923638114485
102674,7,3,781,720,V1,141.15347,0.4223601697808236,0.3942235911384106
102675,9,4,599,564,V1,10.412057,0.2449410757143327,0.24208837408594291
102676,6,4,6407,5930,V1,4.400726,0.24914888461987572,0.2489910078718366
102677,6,7,2651,2394,V1,21.648453,0.40356451059141923,0.4021229015998652
102678,9,6,1324,1241,V1,26.516382,0.2278076041245127,0.22277966288663248
102679,6,6,64,56,V1,5.26479,0.21750732792564373,0.21740666337188638
102680,9,3,7103,6552,V1,4.5561585,0.17849396110457244,0.17791898760748645
102681,9,6,3995,3732,V1,4.665557,0.5563267473700652,0.5561938631189131
102682,5,6,6559,6014,V1,87.11418,0.6196285815547906,0.6089467068692227
102683,9,4,6544,6104,V1,25.367626,0.3478628039072098,0.34733408858240156
102684,8,5,1051,1002,V1,100.038055,0.5665859048031363,0.5624177847074233
102685,4,7,3377,2947,V1,72.004,0.37476119411638514,0.37434998270098585
102686,5,6,1014,955,V1,11.23476,0.4604995467158379,0.4599994976690478
102687,6,7,2397,2159,V1,22.122917,0.42645244763711265,0.42605830461460514
102688,7,3,2941,2733,V1,114.80813,0.5803417461515292,0.5754631480449176
102689,6,6,544,501,V1,25.557856,0.37804197200947165,0.3776341159754878
102690,6,2,995,920,V1,16.267075,0.29715445856116157,0.29625765679400173
102691,6,7,3054,2779,V1,8.431026,0.2449379572008662,0.2448700137181939
102692,9,3,156,149,V1,27.777363,0.37211950219098977,0.3677064305065483
102693,6,2,6400,5922,V1,52.58426,0.43772987337716907,0.4319205602114966
102694,8,5,9071,8523,V1,37.45709,0.47057278199857755,0.4688192866765808
102695,6,6,2526,2327,V1,30.504297,0.3534253986970934,0.3444121195770017
102696,5,6,6074,5565,V1,1.4678903,0.061764910943919504,0.0617612577607799
102697,4,7,382,306,V1,23.761423,0.5531391188588692,0.552881960070236
102698,6,6,7511,6949,V1,29.294758,0.3521048238720728,0.3507085799301625
102699,6,4,1149,1071,V1,11.118024,0.5046541226896732,0.5043455960037673
102700,9,3,6202,5725,V1,19.46211,0.5007341273940837,0.49774734388207675
102701,6,6,2786,2570,V1,17.636574,0.4356948186228534,0.42244347893254053
102702,7,5,8180,7406,V1,1.2845147,0.14077114305446947,0.14074776692412247
102703,6,6,1627,1491,V1,10.503131,0.17015311393582014,0.1697782939042828
102704,9,3,3279,3056,V1,25.085247,0.382907763536331,0.3825451060907965
102705,5,6,7833,7187,V1,6.967362,0.48476418596490023,0.4844386225725571
102706,5,6,3960,3661,V1,81.94487,0.6467761240983334,0.644569593963961
102707,9,3,3372,3142,V1,23.492517,0.2156210804982236,0.21526837134123797
102708,9,3,5456,5043,V1,42.3577,0.2173432311250965,0.216737007850145
102709,9,3,6993,6447,V1,127.00458,0.5396706044591346,0.5187779375446574
102710,9,6,3766,3507,V1,70.84195,0.3982738366917008,0.39658614736105036
102711,7,3,4717,4351,V1,43.21994,0.3809046124994616,0.3798702972510857
102712,6,6,5140,4768,V1,178.33574,0.5255396564721166,0.518613157255381
102713,7,5,5287,4792,V1,107.87936,0.46568160189572755,0.45588830272888425
102714,6,6,1445,1332,V1,17.481033,0.28296184781707856,0.28065137696859965
102715,9,4,5886,5490,V1,3.7329767,0.18252688821023727,0.1823314435066013
102716,6,4,8704,8105,V1,10.354569,0.4942727978659214,0.49408012928425704
102717,9,4,3778,3515,V1,6.1184425,0.22601205352769227,0.22555909945547525
102718,9,3,708,657,V1,38.542027,0.4553504676851611,0.45388663913175875
102719,7,5,8144,7371,V1,13.853737,0.3931931097726311,0.3925537393690778
102720,6,2,2703,2485,V1,12.263278,0.23559012619340697,0.23535372794745896
