session,scan_idx,readout_id,task_index,unit_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
8,5,7278,30883,7707,857.06,626.2,369.69,V1,6,0.64601,all_model_readouts_v1,8.646911351356695e+17,root_864691135135669529,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
6,4,4237,7138,4599,967.07,252.8,272.25,AL,4,,all_model_readouts_v1,,,,unassigned,False,False,
9,6,1871,38152,2012,875.67,1016.84,206.42,V1,2,0.547267,all_model_readouts_v1,8.646911357173363e+17,root_864691135717336346,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
4,7,6680,52356,7509,586.54,961.86,515.64,V1,7,0.750825,all_model_readouts_v1,,,,unassigned,False,False,
6,2,4795,17557,5187,887.03,374.32,288.6,RL,4,0.548444,all_model_readouts_v1,8.646911363298189e+17,root_864691136329818858,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
9,4,5175,10599,5550,832.28,231.36,177.67,AL,4,0.543845,all_model_readouts_v1,8.646911348857126e+17,root_864691134885712634,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
9,4,3410,12052,3670,164.93,710.03,181.51,V1,3,0.809364,all_model_readouts_v1,,,,unassigned,False,False,
6,4,2098,1140,2302,824.15,293.73,135.06,AL,2,0.863293,all_model_readouts_v1,8.646911354079672e+17,root_864691135407967177,L2b,L23,True,True,aibs_metamodel_mtypes_v661_v2
9,6,2087,14472,2244,1145.16,392.64,199.74,RL,2,0.785083,all_model_readouts_v1,8.64691135123189e+17,root_864691135123189031,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
8,5,9224,4828,9815,1167.14,371.25,505.28,RL,8,0.580622,all_model_readouts_v1,8.64691135731185e+17,root_864691135731185081,L5NP,L5,True,False,aibs_metamodel_mtypes_v661_v2
6,2,6681,6318,7234,1001.23,98.13,421.92,AL,6,0.5833,all_model_readouts_v1,8.646911362746412e+17,root_864691136274641165,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
8,5,7119,4619,7537,1048.9,386.96,370.58,RL,6,0.651844,all_model_readouts_v1,8.646911354746511e+17,root_864691135474651200,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
6,2,3511,96261,3800,263.03,852.12,292.02,V1,3,0.778168,all_model_readouts_v1,,,,unassigned,False,False,
6,7,1800,29371,2002,709.16,512.36,261.89,V1,3,0.747539,all_model_readouts_v1,,,,unassigned,False,False,
9,6,1239,45794,1322,540.22,208.66,201.77,LM,1,0.692502,all_model_readouts_v1,,,,unassigned,False,False,
6,7,1581,56668,1772,315.88,247.83,261.89,LM,3,0.565746,all_model_readouts_v1,,,,unassigned,False,False,
9,3,608,68004,655,275.19,999.05,325.35,V1,1,0.428201,all_model_readouts_v1,,,,unassigned,False,False,
